0,1,2,3,4,5,6,7,8
,,基礎改良工,安定処理,【混合深さ、添加材料、添加材使用量】,m2,m2,Q70027001,
,,,置換,【置換材料】,m3,m3,,
,,既製杭工,既製ｺﾝｸﾘｰﾄ杭,【杭種別、杭径、杭長、杭打込長(掘削長)】,本,本,Q70069001,
,,,ｶｯﾄｵﾌ,【径】,本,本,Q10522001,
,,,殻運搬,【穀種別、運搬距離】,m3,m3,Q70071001,
,,,殻処分,【殻種別】,m3,m3,Q70071005,
,,,鋼管杭,【鋼管径(杭径)、鋼管長さ(杭長)】,本,本,Q70072001,
,,場所打杭工,場所打杭,【杭径、杭長(設計長)】,本,本,Q15363001,
,,,杭土処理,【　－　】,m3,式 or m3,Q70075001,
,,,殻運搬,【穀種別、運搬距離】,m3,m3,Q70071001,
,,,殻処分,【殻種別】,m3,m3,Q70071005,
,,場所打擁壁工,小型擁壁,【擁壁平均高さ、本体ｺﾝｸﾘｰﾄ規格】,m3,m3,Q15692001,
,,(構造物単位),重力式擁壁,【本体ｺﾝｸﾘｰﾄ規格、擁壁平均高さ】,m3,m3,Q15752001,
,,,もたれ式擁壁,【本体ｺﾝｸﾘｰﾄ規格】,m3,m3,Q15753001,
,,,逆T型擁壁,【本体ｺﾝｸﾘｰﾄ規格】,m3,m3,Q15754001,
,,,L型擁壁,【本体ｺﾝｸﾘｰﾄ規格】,m3,m3,Q15755001,
,,,裏込砕石,【砕石規格】,m3,m3,Q12218002,
,,,止水板,【止水板の種類、寸法】,m,m,Q10962001,
,,,化粧型枠,【型枠の種類】,m2,m2,Q10408031,
,,,排水材設置,【　－　】,m,m,Q10641001,
,,場所打擁壁工,基礎材,【基礎材規格、敷厚】,m2,m2,Q70074001,
,,,均しｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格、敷厚】,m2,m2,Q70078002,
,,,ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10411026,
,,,鉄筋,【鉄筋規格】,t,t,Q10409002,
,,,型枠,【　－　】,m2,式 or m2,Q10408005,
,,,足場,【　－　】,掛m2,式or掛m2,Q10055001,
,,,目地板,【目地板種類、目地板厚さ】,m2,m2,Q10961001,
,,,止水板,【止水板の種類、寸法】,m,m,Q10962001,
,,,水抜ﾊﾟｲﾌﾟ,【管径、管種類、ﾌｨﾙﾀｰの有無】,箇所,箇所,,
,,,吸出し防止材,【材質、種類、寸法】,m2,m2,Q10637001,
,,,排水材設置,【　－　】,m,m,Q10641001,
,,ﾌﾟﾚｷｬｽﾄ擁壁工,ﾌﾟﾚｷｬｽﾄ擁壁,【ﾌﾞﾛｯｸ規格、高さ】,m,m,Q70080001,
レベル１,レベル２,レベル３,レベル４,レベル５,積算用,工事数量総,ﾓｼﾞｭｰﾙ,
,,,,,,,,摘　　要
工事区分,工　　種,種　　別,細　　別,規　　格,単位,括表用単位,ｺｰﾄﾞ№,
（整地）,,帯鋼補強土壁・,補強土壁基礎,【ｺﾝｸﾘｰﾄ規格】,m,m,Q70088001,
,,ｱﾝｶｰ補強土壁工,補強土壁壁面材組立・設置,【工法区分】,m2,m2,Q70088011,
,,,補強材取付,【工法区分】,m,m,Q70088021,
,,,まき出し・敷均し，締固め,【工法区分】,m3,m3,Q70088031,
,,,壁面上端処理,【幅】,m,m,Q70088041,
,,,排水管敷設,【管種別、管径】,m,式 or m,Q70088051,
,,,補強土壁基礎,【ｺﾝｸﾘｰﾄ規格】,m,m,Q70088001,
,,ｼﾞｵﾃｷｽﾀｲﾙ,,,,,,
,,補強土壁工,補強土壁壁面材組立・設置,【　－　】,m2,m2,Q70088011,
,,（二重壁ﾀｲﾌﾟ）,,,,,,
,,,補強材取付,【　－　】,m2,m2,Q70088022,
,,,砕石投入,【　－　】,m3,m3,Q70088025,
,,,まき出し・敷均し，締固め,【工法区分】,m3,m3,Q70088031,
,,,壁面上端処理,【幅】,m,m,Q70088041,
,,,排水管敷設,【管種別、管径】,m,式 or m,Q70088051,
,,,補強土壁基礎,【ｺﾝｸﾘｰﾄ規格】,m,m,Q70088001,
,,ｼﾞｵﾃｷｽﾀｲﾙ,,,,,,
,,補強土壁工,ｼﾞｵﾃｷｽﾀｲﾙ壁面材組立・設置,【壁面材の種類】,m2,式 or m2,Q70088061,
,,（鋼製枠ﾀｲﾌﾟ）,,,,,,
,,,ｼﾞｵﾃｷｽﾀｲﾙ敷設,【ｼﾞｵﾃｷｽﾀｲﾙ規格】,m2,m2,Q70088062,
,,,まき出し・敷均し，締固め,【－】,m3,m3,Q70088063,
,,,壁面上端処理,【幅】,m,m,Q70088041,
,,,排水管敷設,【管種別、管径】,m,式 or m,Q70088051,
,,補強盛土工,補強土壁基礎,【ｺﾝｸﾘｰﾄ規格】,m,m,,
,,,ｼﾞｵﾃｷｽﾀｲﾙ壁面材組立・設置,【壁面材の種類】,m2,式 or m2,,
,,,ｼﾞｵﾃｷｽﾀｲﾙ敷設,【ｼﾞｵﾃｷｽﾀｲﾙ規格】,m2,m2,,
,,,まき出し・敷均し，締固め,【　－　】,m3,m3,,
,,,壁面上端処理,【幅】,m,m,,
,,,排水管敷設,【管種別、管径】,m,式 or m,,
,,泥水処理工,泥水運搬,【運搬距離】,m3,m3,Q70088311,
,,,泥水処分,【　－　】,m3,m3,Q70088321,
,,土留工,(建て込み簡易土留),【掘削深、掘削幅】,m,式 or m,Q70420001,
,,,(建て込み簡易土留賃料等）,【形式】,式,式,Q70421001,
,,,(仮設軽量鋼矢板）,【形式、長さ】,枚,式 or 枚 Q70093001,,
,,,(仮設軽量鋼矢板賃料等）,【形式】,式,式,Q70415001,
,,,(仮設H鋼杭),【形式、長さ】,本,式 or 本 Q70424001,,
,,,(仮設H鋼賃料等),【形式】,式,式,Q70416001,
,,,(仮設鋼矢板),【形式、長さ】,枚,式 or 枚 Q70425001,,
,,,(仮設鋼矢板賃料等),【形式】,式,式,Q70417001,任意とする場合
,,,(仮設広幅鋼矢板),【形式、長さ】,枚,式 or 枚 Q70095001,,ﾚﾍﾞﾙ3で1式
レベル１,レベル２,レベル３,レベル４,レベル５,積算用,工事数量総,ﾓｼﾞｭｰﾙ,
,,,,,,,,摘　　要
工事区分,工　　種,種　　別,細　　別,規　　格,単位,括表用単位,ｺｰﾄﾞ№,
（整地）,,,(仮設広幅鋼矢板賃料等),【形式】,式,式,,
,,,(仮設ﾀｲﾛｯﾄﾞ・腹起し),【ﾀｲﾛｯﾄﾞ径】,t,式 or t,Q15498001,
,,,(ﾀｲﾛｯﾄﾞ・腹起し賃料等),【ﾀｲﾛｯﾄﾞ径】,式,式,Q70418001,
,,,(切梁・腹起し),【　－　】,t,式 or t,Q10052001,
,,,(切梁・腹起し賃料等),【　－　】,式,式,Q70419001,
,,,(横矢板),【材質、厚さ】,m2,式 or m2,Q70096001,
,,,(敷鉄板),【敷鉄板規格】,枚,式 or 枚,Q70426001,
,,,(敷鉄板賃料等),【　－　】,式,式,Q70097001,
